Research Area	Focus area	Score on focus area	Type of Literature	Score from type	Title	Year	Keywords of note	Keywords	Keywords score (0 or 3)	Geographic area	Region Score	Score total Calculation	Percentage	Quality Score Colour	Included	Excluded
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	POPs adsorption onto microplastics in tropical mangrove waters	2024	POPs adsorption, tropical, water column	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Reduced photosynthetic efficiency in mangrove leaves contaminated by microplastics	2025	photosynthesis, leaves, contamination	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Quantifying marine debris inputs from rivers: methods and challenges	2023	quantifying, methods, challenges	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Regional seas conventions and plastic pollution	2023	regional seas, conventions, plastic	Yes	3	Global	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Sampling strategies for plastic debris in mangrove ecosystems	2024	sampling, methodology, standardisation	Yes	3	Global	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Socio-ecological assessment of mangrove-dependent communities	2024	socio-ecological, communities, dependency	Yes	3	Africa	3	15	71			
Impact Assessment	Specific to mangroves	5	Grey Literature	4	State of knowledge on pollution impacts on wetland ecosystems (Ramsar)	2023	Ramsar, wetland pollution, knowledge	Yes	3	Global	3	15	71			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Spatial distribution of microplastics and chemical pollutants in mangrove ecosystems	2024	spatial distribution, chemical pollutants, mapping	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Grey Literature	4	Technical guidelines for mangrove clean-up operations	2025	technical guidelines, clean-up operations	Yes	3	Asia / Middle East	3	20	95			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	The contribution of small rivers to marine plastic pollution	2024	small rivers, contribution, underestimated	Yes	3	Europe	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Tidal influence on plastic debris dynamics in mangrove forests	2024	tidal, dynamics, movement patterns	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	UNEP report on marine litter and microplastics	2021	UNEP, marine litter, assessment	Yes	3	Global	3	15	71			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	The role of mangroves in fisheries productivity	2023	fisheries, productivity, nursery function	Yes	3	Asia / Middle East	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Toxicological assessment of plasticisers in mangrove sediments	2024	toxicological, plasticisers, sediment quality	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Tracking sources and sinks of plastic pollution in Vietnamese mangroves	2024	Vietnam, tracking, sources and sinks	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Transport and fate of microplastics in coastal environments	2023	transport, fate, coastal	Yes	3	Europe	3	16	76			
Mitigation and Clean-up Practices	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Upcycling of collected marine plastics: opportunities and barriers	2024	upcycling, recycling, circular economy	Yes	3	Global	3	16	76			
Ecosystem Services and Linkages	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Valuation of mangrove ecosystem services under pollution stress	2025	valuation, pollution stress, service degradation	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Waterbird habitat degradation from plastic debris in mangroves	2024	waterbirds, habitat degradation, avian impacts	Yes	3	Africa	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	What happens to river plastics at the coast?	2024	river plastics, coastal fate, retention	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Zooplankton ingestion of microplastics near mangrove habitats	2024	zooplankton, ingestion, near-shore	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Analysis of national legislation on plastic pollution in mangrove countries	2024	national legislation, legal analysis, mangrove countries	Yes	3	Global	3	15	71			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Effectiveness of extended producer responsibility for reducing marine plastic	2024	EPR, producer responsibility, effectiveness	Yes	3	Global	3	16	76			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Mangrove biodiversity assessment in West Africa	2023	biodiversity, West Africa, assessment	Yes	3	Africa	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	First quantification of plastic debris in Thai mangroves	2023	Thailand, first quantification, debris	Yes	3	Asia / Middle East	3	21	100			
